reaction,lb,ub
GAPD_r,0,1000
MI1PP,0,1000
EX_galur__e,0,1000
MCITS,0,1000
PPAKr_f,0,1000
PPAKr_r,0,1000
HEX1,0,1000
GND,0,1000
TAUDO,0,1000
DM_amob__c,0,1000
NTP3,0,1000
PPM2_f,0,1000
PPM2_r,0,1000
MOAT2,0,1000
EX_adn__e,0,1000
EX_ins__e,0,1000
G6PDH2r_f,0,1000
G6PDH2r_r,0,1000
ME2,0,1000
ARGSL_f,0,1000
ARGSL_r,0,1000
CBPS,0,1000
GLU5K,0,1000
IPPS,0,1000
EX_mg2__e_f,0,1000
EX_mg2__e_r,0,1000
ACOATA_f,0,1000
ACOATA_r,0,1000
NADH5,0,1000
MOHMT,0,1000
EX_glyc3p__e,0,1000
MLTG2,0,1000
EX_but__e,0,1000
MLTG1,0,1000
AMALT3,0,1000
MLTP3_f,0,1000
MLTP3_r,0,1000
EX_lcts__e,0,1000
EX_ocdca__e,0,1000
EX_cbl1__e,0,1000
SPODM,0,1000
AHCYSNS,0,1000
ACNML,0,1000
TMK,0,1000
NTPP4,0,1000
GMPS,0,1000
CAT,0,1000
FTHFLi,0,1000
EX_nac__e,0,1000
UDPGD,0,1000
SERASr_f,0,1000
SERASr_r,0,1000
GLCRD,0,1000
PPPNDO,0,1000
26DAHtex_f,0,1000
26DAHtex_r,0,1000
HCINNMtex_f,0,1000
HCINNMtex_r,0,1000
HPPPNtex_f,0,1000
HPPPNtex_r,0,1000
ACtex_f,0,1000
ACtex_r,0,1000
ACALDtex_f,0,1000
ACALDtex_r,0,1000
CHRPL,0,1000
TDPAGTA,0,1000
UACMAMO,0,1000
FBA3_f,0,1000
FBA3_r,0,1000
PMPK,0,1000
LCADi,0,1000
ACMANAtex_f,0,1000
ACMANAtex_r,0,1000
ACMUMtex,0,1000
ACACT7r_f,0,1000
ACACT7r_r,0,1000
PSP_L,0,1000
ADK3_f,0,1000
ADK3_r,0,1000
GLUDC,0,1000
ACACT2r_f,0,1000
ACACT2r_r,0,1000
BSORy,0,1000
DMSOR2,0,1000
ADSK,0,1000
ACACT3r_f,0,1000
ACACT3r_r,0,1000
ACACT4r_f,0,1000
ACACT4r_r,0,1000
SUCCt2_2pp,0,1000
SUCFUMtpp_f,0,1000
SUCFUMtpp_r,0,1000
HSDy_f,0,1000
HSDy_r,0,1000
CYSTL,0,1000
ACMAMUT,0,1000
SHSL1,0,1000
SSALy,0,1000
SUCptspp,0,1000
SULabcpp,0,1000
TSULabcpp,0,1000
TARTRt7pp_f,0,1000
TARTRt7pp_r,0,1000
EX_dad__2__e,0,1000
EX_ser____D__e,0,1000
DDGALK,0,1000
EX_gam6p__e,0,1000
EX_15dap__e,0,1000
AB6PGH,0,1000
EX_ocdcea__e,0,1000
EX_cynt__e,0,1000
EX_galctn____D__e,0,1000
AMALT1,0,1000
EX_glyb__e,0,1000
AHGDx_f,0,1000
AHGDx_r,0,1000
MLTP2_f,0,1000
MLTP2_r,0,1000
TAURabcpp,0,1000
THMDt2pp_copy1,0,1000
3HCINNMH,0,1000
BSORx,0,1000
PACCOAL,0,1000
NMNt7pp,0,1000
EX_ca2__e_f,0,1000
EX_ca2__e_r,0,1000
EX_so3__e,0,1000
GLUtex_f,0,1000
GLUtex_r,0,1000
Kt2pp,0,1000
GLYtex_f,0,1000
GLYtex_r,0,1000
GP4GH,0,1000
GLYALDtex_f,0,1000
GLYALDtex_r,0,1000
AKGt2rpp_f,0,1000
AKGt2rpp_r,0,1000
ACGAMT,0,1000
XYLt2pp,0,1000
EX_ascb____L__e,0,1000
GLYBtex_f,0,1000
GLYBtex_r,0,1000
GLYCtex_f,0,1000
GLYCtex_r,0,1000
GLYC3Ptex_f,0,1000
GLYC3Ptex_r,0,1000
GLYCLTtex_f,0,1000
GLYCLTtex_r,0,1000
GTPtex_f,0,1000
GTPtex_r,0,1000
GUAtex_f,0,1000
GUAtex_r,0,1000
Htex_f,0,1000
Htex_r,0,1000
EX_ala__B__e,0,1000
EX_agm__e,0,1000
EX_minohp__e,0,1000
EX_ppt__e,0,1000
EX_hxa__e,0,1000
H2tex_f,0,1000
H2tex_r,0,1000
H2Otex_f,0,1000
H2Otex_r,0,1000
AADDGT,0,1000
FACOAL160t2pp,0,1000
FACOAL180t2pp,0,1000
SPODMpp,0,1000
EX_lyx____L__e,0,1000
EX_acmum__e,0,1000
EX_dca__e,0,1000
EX_all____D__e,0,1000
NO3R1bpp,0,1000
O2tpp_f,0,1000
O2tpp_r,0,1000
EX_octa__e,0,1000
PHYTSpp,0,1000
EX_gbbtn__e,0,1000
PPTHpp,0,1000
PYRt2rpp_f,0,1000
PYRt2rpp_r,0,1000
NO3R2pp,0,1000
EX_xylu____L__e,0,1000
EX_gdp__e,0,1000
EX_gtp__e,0,1000
NTP3pp,0,1000
NO3R2bpp,0,1000
THMabcpp,0,1000
THMDt2pp_copy2_f,0,1000
THMDt2pp_copy2_r,0,1000
THRabcpp,0,1000
TREptspp,0,1000
THD2pp,0,1000
TMAOR1pp,0,1000
TMAOR2pp,0,1000
XANtpp_f,0,1000
XANtpp_r,0,1000
