reaction,FBAmodel,background_conc,system_volume
EX_tsul__e_f,iML1515,1000,1
EX_n2o__e_f,iML1515,1000,1
EX_maltttr__e_f,iML1515,1000,1
EX_alaala__e_f,iML1515,1000,1
EX_dtmp__e_f,iML1515,1000,1
DM_5drib__c_f,iML1515,1000,1
EX_lipoate__e_f,iML1515,1000,1
EX_pydx__e_f,iML1515,1000,1
EX_g1p__e_f,iML1515,1000,1
DM_oxam__c_f,iML1515,1000,1
EX_o2__e_f,iML1515,1000,1
EX_o2__e_r,iML1515,1000,1
EX_progly__e_f,iML1515,1000,1
EX_gal__bD__e_f,iML1515,1000,1
EX_dump__e_f,iML1515,1000,1
EX_12ppd____R__e_f,iML1515,1000,1
MLTGY3pp_f,iML1515,1000,1
EX_o2s__e_f,iML1515,1000,1
EX_gal1p__e_f,iML1515,1000,1
EX_dcmp__e_f,iML1515,1000,1
EX_23ccmp__e_f,iML1515,1000,1
MLTGY1pp_f,iML1515,1000,1
EX_3cmp__e_f,iML1515,1000,1
EX_urate__e_f,iML1515,1000,1
EX_skm__e_f,iML1515,1000,1
EX_cpgn__un__e_f,iML1515,1000,1
EX_ag__e_f,iML1515,1000,1
EX_cys____D__e_f,iML1515,1000,1
EX_acser__e_f,iML1515,1000,1
EX_cu__e_f,iML1515,1000,1
EX_arbtn__e_f,iML1515,1000,1
EX_dopa__e_f,iML1515,1000,1
EX_tartr____D__e_f,iML1515,1000,1
EX_galctn____L__e_f,iML1515,1000,1
EX_hom____L__e_f,iML1515,1000,1
EX_tungs__e_f,iML1515,1000,1
EX_tungs__e_r,iML1515,1000,1
EX_crn____D__e_f,iML1515,1000,1
EX_LalaDgluMdapDala__e_f,iML1515,1000,1
EX_5dglcn__e_f,iML1515,1000,1
EX_LalaDgluMdap__e_f,iML1515,1000,1
EX_psclys__e_f,iML1515,1000,1
EX_anhgm__e_f,iML1515,1000,1
DM_aacald__c_f,iML1515,1000,1
EX_ppal__e_f,iML1515,1000,1
EX_slnt__e_f,iML1515,1000,1
