"abbreviation","type","subtype","lowbnd","uppbnd"
"ETHAAL","core","internal",0,1000
"ETHSO3abc","core","internal",0,1000
"ETOHt2r","core","internal",-1000,1000
"EX_12ppd_S_e","boundary","exchange",-1000,1000
"EX_13ppd_e","boundary","exchange",-1000,1000
"EX_15dap_e","boundary","exchange",-1000,1000
"EX_26dap_M_e","boundary","exchange",-1000,1000
"EX_4abz_e","boundary","exchange",-1000,1000
"EX_5fura_e","boundary","exchange",-1000,1000
"EX_7a_czp_e","boundary","exchange",-1000,1000
"EX_Lcyst_e","boundary","exchange",-1000,1000
"EX_Tyr_ggn_e","boundary","exchange",-1000,1000
"EX_ac_e","boundary","exchange",-1000,1000
"EX_acald_e","boundary","exchange",-1000,1000
"EX_acgam_e","boundary","exchange",-1000,1000
"EX_adn_e","boundary","exchange",-1000,1000
"EX_adocbl_e","boundary","exchange",-1000,1000
"EX_ala_D_e","boundary","exchange",-1000,1000
"EX_ala_L_e","boundary","exchange",-1000,1000
"EX_alaasp_e","boundary","exchange",-1000,1000
"EX_alagln_e","boundary","exchange",-1000,1000
"EX_alaglu_e","boundary","exchange",-1000,1000
"EX_alagly_e","boundary","exchange",-1000,1000
"EX_alahis_e","boundary","exchange",-1000,1000
"EX_alaleu_e","boundary","exchange",-1000,1000
"EX_alathr_e","boundary","exchange",-1000,1000
"EX_alltn_e","boundary","exchange",-1000,1000
"EX_anzp_e","boundary","exchange",-1000,1000
"EX_arab_L_e","boundary","exchange",-1000,1000
"EX_arbt_e","boundary","exchange",-1000,1000
"EX_asn_L_e","boundary","exchange",-1000,1000
"EX_biomass_e","boundary","exchange",-1000,1000
"EX_btn_e","boundary","exchange",-1000,1000
"EX_but_e","boundary","exchange",-1000,1000
"EX_butso3_e","boundary","exchange",-1000,1000
"EX_ca2_e","boundary","exchange",-1000,1000
"EX_cbl1_e","boundary","exchange",-1000,1000
"EX_cbl2_e","boundary","exchange",-1000,1000
"EX_cd2_e","boundary","exchange",-1000,1000
"EX_cellb_e","boundary","exchange",-1000,1000
"EX_cgly_e","boundary","exchange",-1000,1000
"EX_chlphncl_e","boundary","exchange",-1000,1000
"EX_cl_e","boundary","exchange",-1000,1000
"EX_co2_e","boundary","exchange",-1000,1000
"EX_cobalt2_e","boundary","exchange",-1000,1000
"EX_cro4_e","boundary","exchange",-1000,1000
"EX_csn_e","boundary","exchange",-1000,1000
"EX_cu2_e","boundary","exchange",-1000,1000
"EX_cys_L_e","boundary","exchange",-1000,1000
"EX_cytd_e","boundary","exchange",-1000,1000
"EX_czp_e","boundary","exchange",-1000,1000
"EX_dad_2_e","boundary","exchange",-1000,1000
"EX_dcyt_e","boundary","exchange",-1000,1000
"EX_dextrin_e","boundary","exchange",-1000,1000
"EX_dfdcytd_e","boundary","exchange",-1000,1000
"EX_dfduri_e","boundary","exchange",-1000,1000
"EX_dgsn_e","boundary","exchange",-1000,1000
"EX_dh5fura_e","boundary","exchange",-1000,1000
"EX_din_e","boundary","exchange",-1000,1000
"EX_drib_e","boundary","exchange",-1000,1000
"EX_duri_e","boundary","exchange",-1000,1000
"EX_ethso3_e","boundary","exchange",-1000,1000
"EX_etoh_e","boundary","exchange",-1000,1000
"EX_fe2_e","boundary","exchange",-1000,1000
"EX_fe3_e","boundary","exchange",-1000,1000
"EX_fecrm_e","boundary","exchange",-1000,1000
"EX_fol_e","boundary","exchange",-1000,1000
"EX_for_e","boundary","exchange",-1000,1000
"EX_fru_e","boundary","exchange",-1000,1000
"EX_fuc1p_L_e","boundary","exchange",-1000,1000
"EX_fum_e","boundary","exchange",-1000,1000
"EX_g6p_e","boundary","exchange",-1000,1000
"EX_gal_e","boundary","exchange",-1000,1000
"EX_galt_e","boundary","exchange",-1000,1000
"EX_galur_e","boundary","exchange",-1000,1000
"EX_gam_e","boundary","exchange",-1000,1000
"EX_glc_D_e","boundary","exchange",-1000,1000
"EX_gln_L_e","boundary","exchange",-1000,1000
"EX_glu_L_e","boundary","exchange",-1000,1000
"EX_gly_e","boundary","exchange",-1000,1000
"EX_glyasn_e","boundary","exchange",-1000,1000
"EX_glyasp_e","boundary","exchange",-1000,1000
"EX_glyb_e","boundary","exchange",-1000,1000
"EX_glyc_e","boundary","exchange",-1000,1000
"EX_glyc3p_e","boundary","exchange",-1000,1000
"EX_glycys_e","boundary","exchange",-1000,1000
"EX_glygln_e","boundary","exchange",-1000,1000
"EX_glyglu_e","boundary","exchange",-1000,1000
"EX_glygn2_e","boundary","exchange",-1000,1000
"EX_glygn4_e","boundary","exchange",-1000,1000
"EX_glygn5_e","boundary","exchange",-1000,1000
"EX_glyleu_e","boundary","exchange",-1000,1000
"EX_glymet_e","boundary","exchange",-1000,1000
"EX_glyphe_e","boundary","exchange",-1000,1000
"EX_glypro_e","boundary","exchange",-1000,1000
"EX_glytyr_e","boundary","exchange",-1000,1000
"EX_gua_e","boundary","exchange",-1000,1000
"EX_h_e","boundary","exchange",-1000,1000
"EX_h2_e","boundary","exchange",-1000,1000
"EX_h2o_e","boundary","exchange",-1000,1000
"EX_h2s_e","boundary","exchange",-1000,1000
"EX_hexs_e","boundary","exchange",-1000,1000
"EX_hg2_e","boundary","exchange",-1000,1000
"EX_hxan_e","boundary","exchange",-1000,1000
"EX_ile_L_e","boundary","exchange",-1000,1000
"EX_ins_e","boundary","exchange",-1000,1000
"EX_isetac_e","boundary","exchange",-1000,1000
"EX_k_e","boundary","exchange",-1000,1000
"EX_kesto_e","boundary","exchange",-1000,1000
"EX_kestopt_e","boundary","exchange",-1000,1000
"EX_kestottr_e","boundary","exchange",-1000,1000
"EX_lac_D_e","boundary","exchange",-1000,1000
"EX_lac_L_e","boundary","exchange",-1000,1000
"EX_lactl_e","boundary","exchange",-1000,1000
"EX_lcts_e","boundary","exchange",-1000,1000
"EX_leu_L_e","boundary","exchange",-1000,1000
"EX_lys_L_e","boundary","exchange",-1000,1000
"EX_malt_e","boundary","exchange",-1000,1000
"EX_malthx_e","boundary","exchange",-1000,1000
"EX_malttr_e","boundary","exchange",-1000,1000
"EX_man_e","boundary","exchange",-1000,1000
"EX_man6p_e","boundary","exchange",-1000,1000
"EX_mantr_e","boundary","exchange",-1000,1000
"EX_melib_e","boundary","exchange",-1000,1000
"EX_meoh_e","boundary","exchange",-1000,1000
"EX_met_D_e","boundary","exchange",-1000,1000
"EX_met_L_e","boundary","exchange",-1000,1000
"EX_metala_e","boundary","exchange",-1000,1000
"EX_metsox_S_L_e","boundary","exchange",-1000,1000
