"abbreviation","type","subtype","lowbnd","uppbnd"
"AGALASE_OGLYCAN76e","core","internal",0,1000
"AGALASE_OGLYCAN77e","core","internal",0,1000
"AGALASE_OGLYCAN78e","core","internal",0,1000
"AGALASE_OGLYCAN79e","core","internal",0,1000
"AGALASE_OGLYCAN7e","core","internal",0,1000
"AGALASE_OGLYCAN8e","core","internal",0,1000
"AGALASE_OGLYCAN9e","core","internal",0,1000
"AGDC","core","internal",0,1000
"AGDC2","core","internal",0,1000
"AGMHE","core","internal",0,1000
"AGMT","core","internal",0,1000
"AGPAT120","core","internal",0,1000
"AGPAT140","core","internal",0,1000
"AGPAT141","core","internal",0,1000
"AGPAT160","core","internal",0,1000
"AGPAT161","core","internal",0,1000
"AGPAT180","core","internal",0,1000
"AGPAT181","core","internal",0,1000
"AGPR","core","internal",-1000,1000
"AHCYSNS_r","core","internal",-1000,1000
"AHMMPS","core","internal",0,1000
"AICART","core","internal",-1000,1000
"AIHPDCOATA","core","internal",-1000,1000
"AIPDCOATA","core","internal",-1000,1000
"AIRC4","core","internal",0,1000
"AKGS","core","internal",0,1000
"AKGt2r","core","internal",-1000,1000
"AKP1","core","internal",0,1000
"ALAALA","core","internal",0,1000
"ALAASP1c","core","internal",-1000,1000
"ALAASPabc","core","internal",0,1000
"ALACI","core","internal",-1000,1000
"ALAGLN1c","core","internal",-1000,1000
"ALAGLNabc","core","internal",0,1000
"ALAGLU1c","core","internal",-1000,1000
"ALAGLUabc","core","internal",0,1000
"ALAGLY1c","core","internal",-1000,1000
"ALAGLYabc","core","internal",0,1000
"ALAHIS1c","core","internal",-1000,1000
"ALAHISabc","core","internal",0,1000
"ALALEU1c","core","internal",-1000,1000
"ALALEUabc","core","internal",0,1000
"ALAR","core","internal",-1000,1000
"ALATA_L","core","internal",-1000,1000
"ALATHR1c","core","internal",-1000,1000
"ALATHRabc","core","internal",0,1000
"ALAt2r","core","internal",-1000,1000
"ALCD1","core","internal",-1000,1000
"ALCD19","core","internal",-1000,1000
"ALCD2x","core","internal",-1000,1000
"ALDD1","core","internal",0,1000
"ALKP","core","internal",0,1000
"ALLTAMH2","core","internal",0,1000
"ALLTN","core","internal",0,1000
"ALLTNRS","core","internal",0,1000
"ALLTNS","core","internal",0,1000
"ALLTNt2r","core","internal",-1000,1000
"ALPHNH","core","internal",0,1000
"ALTRH","core","internal",0,1000
"AMALT1","core","internal",0,1000
"AMALT2","core","internal",0,1000
"AMALT3","core","internal",0,1000
"AMALT4","core","internal",0,1000
"AMANAPEr","core","internal",-1000,1000
"AMANK","core","internal",0,1000
"AMAOTr","core","internal",-1000,1000
"AMMQT8r","core","internal",-1000,1000
"AMOPBHL","core","internal",0,1000
"AMPMS2","core","internal",0,1000
"AMPN","core","internal",0,1000
"AMPTASECG","core","internal",0,1000
"AMPTASEGC","core","internal",0,1000
"ANPRT","core","internal",0,1000
"ANS","core","internal",0,1000
"ANS2","core","internal",0,1000
"AOBUTDs","core","internal",0,1000
"AOXHEXCYCL","core","internal",-1000,1000
"AOXSr","core","internal",-1000,1000
"AOXSr2","core","internal",-1000,1000
"AP4AH","core","internal",0,1000
"APRAUR","core","internal",0,1000
"APSRmq","core","internal",0,1000
"APTNAT","core","internal",-1000,1000
"ARAI","core","internal",-1000,1000
"ARBTpts","core","internal",0,1000
"ARBabc","core","internal",0,1000
"ARBt2r","core","internal",-1000,1000
"ARGDC","core","internal",0,1000
"ARGSL","core","internal",-1000,1000
"ARGSSr","core","internal",-1000,1000
"ARGabc","core","internal",0,1000
"ARGt2","core","internal",0,1000
"ASAD","core","internal",-1000,1000
"ASCBPL","core","internal",0,1000
"ASNS1","core","internal",0,1000
"ASNS2","core","internal",0,1000
"ASNt2r","core","internal",-1000,1000
"ASO3t","core","internal",-1000,1000
"ASO4t","core","internal",-1000,1000
"ASP1DC","core","internal",0,1000
"ASPCT","core","internal",0,1000
"ASPKi","core","internal",0,1000
"ASPO1","core","internal",0,1000
"ASPO5","core","internal",0,1000
"ASPO6","core","internal",0,1000
"ASPO7","core","internal",0,1000
"ASPT","core","internal",0,1000
"ASPTA","core","internal",-1000,1000
"ASPabc","core","internal",0,1000
"ASPt2","core","internal",0,1000
"ASPt2_3","core","internal",0,1000
"AST","core","internal",0,1000
"ATPPRT","core","internal",0,1000
"ATPS4","core","internal",0,1000
"BACCLi","core","internal",0,1000
"BBTCOAOX","core","internal",-1000,1000
"BDH","core","internal",-1000,1000
"BETALDHx","core","internal",0,1000
"BETALDHy","core","internal",0,1000
"BGALASE_OGLYCAN100e","core","internal",0,1000
"BGALASE_OGLYCAN101e","core","internal",0,1000
"BGALASE_OGLYCAN102e","core","internal",0,1000
"BGALASE_OGLYCAN103e","core","internal",0,1000
"BGALASE_OGLYCAN104e","core","internal",0,1000
"BGALASE_OGLYCAN105e","core","internal",0,1000
"BGALASE_OGLYCAN106e","core","internal",0,1000
"BGALASE_OGLYCAN107e","core","internal",0,1000
"BGALASE_OGLYCAN108e","core","internal",0,1000
"BGALASE_OGLYCAN109e","core","internal",0,1000
"BGALASE_OGLYCAN10e","core","internal",0,1000
"BGALASE_OGLYCAN110e","core","internal",0,1000
"BGALASE_OGLYCAN111e","core","internal",0,1000
"BGALASE_OGLYCAN112e","core","internal",0,1000
"BGALASE_OGLYCAN113e","core","internal",0,1000
"BGALASE_OGLYCAN114e","core","internal",0,1000
"BGALASE_OGLYCAN115e","core","internal",0,1000
"BGALASE_OGLYCAN116e","core","internal",0,1000
"BGALASE_OGLYCAN117e","core","internal",0,1000
"BGALASE_OGLYCAN118e","core","internal",0,1000
"BGALASE_OGLYCAN119e","core","internal",0,1000
"BGALASE_OGLYCAN11e","core","internal",0,1000
"BGALASE_OGLYCAN120e","core","internal",0,1000
"BGALASE_OGLYCAN121e","core","internal",0,1000
"BGALASE_OGLYCAN122e","core","internal",0,1000
"BGALASE_OGLYCAN123e","core","internal",0,1000
"BGALASE_OGLYCAN124e","core","internal",0,1000
"BGALASE_OGLYCAN125e","core","internal",0,1000
"BGALASE_OGLYCAN126e","core","internal",0,1000
"BGALASE_OGLYCAN127e","core","internal",0,1000
"BGALASE_OGLYCAN128e","core","internal",0,1000
"BGALASE_OGLYCAN129e","core","internal",0,1000
"BGALASE_OGLYCAN12e","core","internal",0,1000
"BGALASE_OGLYCAN130e","core","internal",0,1000
"BGALASE_OGLYCAN131e","core","internal",0,1000
"BGALASE_OGLYCAN132e","core","internal",0,1000
"BGALASE_OGLYCAN133e","core","internal",0,1000
"BGALASE_OGLYCAN134e","core","internal",0,1000
"BGALASE_OGLYCAN135e","core","internal",0,1000
"BGALASE_OGLYCAN136e","core","internal",0,1000
"BGALASE_OGLYCAN137e","core","internal",0,1000
"BGALASE_OGLYCAN138e","core","internal",0,1000
"BGALASE_OGLYCAN139e","core","internal",0,1000
"BGALASE_OGLYCAN13e","core","internal",0,1000
"BGALASE_OGLYCAN140e","core","internal",0,1000
"BGALASE_OGLYCAN141e","core","internal",0,1000
"BGALASE_OGLYCAN142e","core","internal",0,1000
"BGALASE_OGLYCAN143e","core","internal",0,1000
"BGALASE_OGLYCAN144e","core","internal",0,1000
"BGALASE_OGLYCAN145e","core","internal",0,1000
"BGALASE_OGLYCAN146e","core","internal",0,1000
"BGALASE_OGLYCAN147e","core","internal",0,1000
"BGALASE_OGLYCAN148e","core","internal",0,1000
"BGALASE_OGLYCAN149e","core","internal",0,1000
"BGALASE_OGLYCAN14e","core","internal",0,1000
"BGALASE_OGLYCAN150e","core","internal",0,1000
"BGALASE_OGLYCAN15e","core","internal",0,1000
"BGALASE_OGLYCAN16e","core","internal",0,1000
"BGALASE_OGLYCAN17e","core","internal",0,1000
"BGALASE_OGLYCAN18e","core","internal",0,1000
"BGALASE_OGLYCAN19e","core","internal",0,1000
"BGALASE_OGLYCAN1e","core","internal",0,1000
"BGALASE_OGLYCAN20e","core","internal",0,1000
"BGALASE_OGLYCAN21e","core","internal",0,1000
"BGALASE_OGLYCAN22e","core","internal",0,1000
"BGALASE_OGLYCAN23e","core","internal",0,1000
"BGALASE_OGLYCAN24e","core","internal",0,1000
"BGALASE_OGLYCAN25e","core","internal",0,1000
"BGALASE_OGLYCAN26e","core","internal",0,1000
"BGALASE_OGLYCAN27e","core","internal",0,1000
"BGALASE_OGLYCAN28e","core","internal",0,1000
"BGALASE_OGLYCAN29e","core","internal",0,1000
"BGALASE_OGLYCAN2e","core","internal",0,1000
"BGALASE_OGLYCAN30e","core","internal",0,1000
"BGALASE_OGLYCAN31e","core","internal",0,1000
"BGALASE_OGLYCAN32e","core","internal",0,1000
"BGALASE_OGLYCAN33e","core","internal",0,1000
"BGALASE_OGLYCAN34e","core","internal",0,1000
"BGALASE_OGLYCAN35e","core","internal",0,1000
"BGALASE_OGLYCAN36e","core","internal",0,1000
"BGALASE_OGLYCAN37e","core","internal",0,1000
"BGALASE_OGLYCAN38e","core","internal",0,1000
"BGALASE_OGLYCAN39e","core","internal",0,1000
"BGALASE_OGLYCAN3e","core","internal",0,1000
"BGALASE_OGLYCAN40e","core","internal",0,1000
"BGALASE_OGLYCAN41e","core","internal",0,1000
"BGALASE_OGLYCAN42e","core","internal",0,1000
"BGALASE_OGLYCAN43e","core","internal",0,1000
"BGALASE_OGLYCAN44e","core","internal",0,1000
"BGALASE_OGLYCAN45e","core","internal",0,1000
"BGALASE_OGLYCAN46e","core","internal",0,1000
"BGALASE_OGLYCAN47e","core","internal",0,1000
"BGALASE_OGLYCAN48e","core","internal",0,1000
"BGALASE_OGLYCAN49e","core","internal",0,1000
"BGALASE_OGLYCAN4e","core","internal",0,1000
"BGALASE_OGLYCAN50e","core","internal",0,1000
"BGALASE_OGLYCAN51e","core","internal",0,1000
"BGALASE_OGLYCAN52e","core","internal",0,1000
"BGALASE_OGLYCAN53e","core","internal",0,1000
"BGALASE_OGLYCAN54e","core","internal",0,1000
"BGALASE_OGLYCAN55e","core","internal",0,1000
"BGALASE_OGLYCAN56e","core","internal",0,1000
"BGALASE_OGLYCAN57e","core","internal",0,1000
"BGALASE_OGLYCAN58e","core","internal",0,1000
"BGALASE_OGLYCAN59e","core","internal",0,1000
"BGALASE_OGLYCAN5e","core","internal",0,1000
"BGALASE_OGLYCAN60e","core","internal",0,1000
"BGALASE_OGLYCAN61e","core","internal",0,1000
"BGALASE_OGLYCAN62e","core","internal",0,1000
"BGALASE_OGLYCAN63e","core","internal",0,1000
"BGALASE_OGLYCAN64e","core","internal",0,1000
"BGALASE_OGLYCAN65e","core","internal",0,1000
"BGALASE_OGLYCAN66e","core","internal",0,1000
"BGALASE_OGLYCAN67e","core","internal",0,1000
"BGALASE_OGLYCAN68e","core","internal",0,1000
"BGALASE_OGLYCAN69e","core","internal",0,1000
"BGALASE_OGLYCAN6e","core","internal",0,1000
"BGALASE_OGLYCAN70e","core","internal",0,1000
"BGALASE_OGLYCAN71e","core","internal",0,1000
"BGALASE_OGLYCAN72e","core","internal",0,1000
"BGALASE_OGLYCAN73e","core","internal",0,1000
"BGALASE_OGLYCAN74e","core","internal",0,1000
"BGALASE_OGLYCAN75e","core","internal",0,1000
"BGALASE_OGLYCAN76e","core","internal",0,1000
"BGALASE_OGLYCAN77e","core","internal",0,1000
"BGALASE_OGLYCAN78e","core","internal",0,1000
"BGALASE_OGLYCAN79e","core","internal",0,1000
"BGALASE_OGLYCAN7e","core","internal",0,1000
"BGALASE_OGLYCAN80e","core","internal",0,1000
"BGALASE_OGLYCAN81e","core","internal",0,1000
"BGALASE_OGLYCAN82e","core","internal",0,1000
"BGALASE_OGLYCAN83e","core","internal",0,1000
"BGALASE_OGLYCAN84e","core","internal",0,1000
"BGALASE_OGLYCAN85e","core","internal",0,1000
"BGALASE_OGLYCAN86e","core","internal",0,1000
"BGALASE_OGLYCAN87e","core","internal",0,1000
"BGALASE_OGLYCAN88e","core","internal",0,1000
"BGALASE_OGLYCAN89e","core","internal",0,1000
"BGALASE_OGLYCAN8e","core","internal",0,1000
"BGALASE_OGLYCAN90e","core","internal",0,1000
"BGALASE_OGLYCAN91e","core","internal",0,1000
"BGALASE_OGLYCAN92e","core","internal",0,1000
"BGALASE_OGLYCAN93e","core","internal",0,1000
"BGALASE_OGLYCAN94e","core","internal",0,1000
"BGALASE_OGLYCAN95e","core","internal",0,1000
"BGALASE_OGLYCAN96e","core","internal",0,1000
"BGALASE_OGLYCAN97e","core","internal",0,1000
"BGALASE_OGLYCAN98e","core","internal",0,1000
"BGALASE_OGLYCAN99e","core","internal",0,1000
"BGALASE_OGLYCAN9e","core","internal",0,1000
"BGLA1","core","internal",0,1000
"BGLAr","core","internal",-1000,1000
"BIACt1","core","internal",-1000,1000
"BIACt4","core","internal",-1000,1000
"BPNT","core","internal",0,1000
"BSORx","core","internal",0,1000
"BSORy","core","internal",0,1000
"BTNCLi","core","internal",0,1000
"BTNabc","core","internal",0,1000
"BTS4","core","internal",0,1000
"BUTCT","core","internal",0,1000
"BUTSO3abc","core","internal",0,1000
"BUTt2","core","internal",0,1000
"CADVt","core","internal",-1000,1000
"CAt4i","core","internal",0,1000
"CBIAT","core","internal",-1000,1000
"CBL1abc","core","internal",0,1000
"CBL2abc","core","internal",0,1000
"CBLAT","core","internal",-1000,1000
"CBMK","core","internal",0,1000
"CBMTHL","core","internal",0,1000
"CBMTHL2","core","internal",-1000,1000
"CBPS","core","internal",0,1000
"CCOuq","core","internal",0,1000
"CD2abc1","core","internal",0,1000
"CDAPPA120","core","internal",0,1000
"CDAPPA140","core","internal",0,1000
"CDAPPA141","core","internal",0,1000
"CDAPPA160","core","internal",0,1000
"CDAPPA161","core","internal",0,1000
