reaction,lb,ub
BHEXNACASE_OGLYCAN93e,0,1000
BHEXNACASE_OGLYCAN94e,0,1000
BHEXNACASE_OGLYCAN9e,0,1000
BPNT,0,1000
BTNCLi,0,1000
BTNabc,0,1000
CA2abc,0,1000
CBMTHL2_f,0,1000
CBMTHL2_r,0,1000
CBPS,0,1000
CD2abc1,0,1000
CD2t6r_f,0,1000
CD2t6r_r,0,1000
CDPMEK,0,1000
CGLYabc,0,1000
CHORM,0,1000
CHORS,0,1000
CMPN,0,1000
CO2t_f,0,1000
CO2t_r,0,1000
COBALTt5_f,0,1000
COBALTt5_r,0,1000
CPPPGO,0,1000
CSND,0,1000
CTPS1,0,1000
CTPS2,0,1000
CYSDS,0,1000
CYSS,0,1000
CYSS3r_f,0,1000
CYSS3r_r,0,1000
CYSTGL,0,1000
CYSTL,0,1000
CYSTS,0,1000
CYSt2r_f,0,1000
CYSt2r_r,0,1000
Cuabc,0,1000
Cut1,0,1000
DAPDC,0,1000
DAPE_f,0,1000
DAPE_r,0,1000
DASYN120,0,1000
DASYN140,0,1000
DASYN141,0,1000
DASYN160,0,1000
DASYN161,0,1000
DASYN180,0,1000
DASYN181,0,1000
DASYNAI15,0,1000
DASYNAI17,0,1000
DASYNI14,0,1000
DASYNI15,0,1000
DASYNI16,0,1000
DASYNI17,0,1000
DCTPD,0,1000
DCTPD2,0,1000
DDPA,0,1000
DGK1_f,0,1000
DGK1_r,0,1000
DHAD1,0,1000
DHAD2,0,1000
DHDPRy,0,1000
DHDPS,0,1000
DHFOR2_f,0,1000
DHFOR2_r,0,1000
DHFR_f,0,1000
DHFR_r,0,1000
DHFS,0,1000
DHNAOPT_f,0,1000
DHNAOPT_r,0,1000
DHNAOT4,0,1000
DHNPA,0,1000
DHORD2,0,1000
DHORD5,0,1000
DHORDfum,0,1000
DHORDi,0,1000
DHORTS_f,0,1000
DHORTS_r,0,1000
DHPS,0,1000
DHQS,0,1000
DHQTi,0,1000
DMATT,0,1000
DMPPS,0,1000
DMPPS2r_f,0,1000
DMPPS2r_r,0,1000
DM_4HBA,0,1000
DM_GCALD,0,1000
DM_atp_c,0,1000
DM_dhptd_c_f,0,1000
DM_dhptd_c_r,0,1000
DPCOAK,0,1000
DPCOAti,0,1000
DPRr_f,0,1000
DPRr_r,0,1000
DRBK,0,1000
DRIBabc,0,1000
DTMPK,0,1000
DUTPDP,0,1000
DXPRIr_f,0,1000
DXPRIr_r,0,1000
DXPS,0,1000
E4PD_f,0,1000
E4PD_r,0,1000
EHGLAT,0,1000
ENAGALNACASE_OGLYCAN100e,0,1000
ENAGALNACASE_OGLYCAN101e,0,1000
ENAGALNACASE_OGLYCAN102e,0,1000
ENAGALNACASE_OGLYCAN103e,0,1000
ENAGALNACASE_OGLYCAN104e,0,1000
ENAGALNACASE_OGLYCAN105e,0,1000
ENAGALNACASE_OGLYCAN106e,0,1000
ENAGALNACASE_OGLYCAN107e,0,1000
ENAGALNACASE_OGLYCAN108e,0,1000
ENAGALNACASE_OGLYCAN109e,0,1000
ENAGALNACASE_OGLYCAN10e,0,1000
ENAGALNACASE_OGLYCAN110e,0,1000
ENAGALNACASE_OGLYCAN111e,0,1000
ENAGALNACASE_OGLYCAN112e,0,1000
ENAGALNACASE_OGLYCAN113e,0,1000
ENAGALNACASE_OGLYCAN114e,0,1000
ENAGALNACASE_OGLYCAN115e,0,1000
ENAGALNACASE_OGLYCAN116e,0,1000
ENAGALNACASE_OGLYCAN117e,0,1000
ENAGALNACASE_OGLYCAN118e,0,1000
ENAGALNACASE_OGLYCAN119e,0,1000
ENAGALNACASE_OGLYCAN11e,0,1000
ENAGALNACASE_OGLYCAN120e,0,1000
ENAGALNACASE_OGLYCAN121e,0,1000
ENAGALNACASE_OGLYCAN122e,0,1000
ENAGALNACASE_OGLYCAN123e,0,1000
ENAGALNACASE_OGLYCAN124e,0,1000
ENAGALNACASE_OGLYCAN125e,0,1000
ENAGALNACASE_OGLYCAN126e,0,1000
ENAGALNACASE_OGLYCAN127e,0,1000
ENAGALNACASE_OGLYCAN128e,0,1000
ENAGALNACASE_OGLYCAN129e,0,1000
ENAGALNACASE_OGLYCAN12e,0,1000
ENAGALNACASE_OGLYCAN130e,0,1000
ENAGALNACASE_OGLYCAN131e,0,1000
ENAGALNACASE_OGLYCAN132e,0,1000
ENAGALNACASE_OGLYCAN133e,0,1000
ENAGALNACASE_OGLYCAN134e,0,1000
ENAGALNACASE_OGLYCAN135e,0,1000
ENAGALNACASE_OGLYCAN136e,0,1000
ENAGALNACASE_OGLYCAN137e,0,1000
ENAGALNACASE_OGLYCAN138e,0,1000
ENAGALNACASE_OGLYCAN139e,0,1000
ENAGALNACASE_OGLYCAN13e,0,1000
ENAGALNACASE_OGLYCAN140e,0,1000
ENAGALNACASE_OGLYCAN141e,0,1000
ENAGALNACASE_OGLYCAN142e,0,1000
ENAGALNACASE_OGLYCAN143e,0,1000
ENAGALNACASE_OGLYCAN144e,0,1000
ENAGALNACASE_OGLYCAN145e,0,1000
ENAGALNACASE_OGLYCAN146e,0,1000
ENAGALNACASE_OGLYCAN147e,0,1000
ENAGALNACASE_OGLYCAN148e,0,1000
ENAGALNACASE_OGLYCAN149e,0,1000
ENAGALNACASE_OGLYCAN14e,0,1000
ENAGALNACASE_OGLYCAN150e,0,1000
ENAGALNACASE_OGLYCAN151e,0,1000
ENAGALNACASE_OGLYCAN152e,0,1000
ENAGALNACASE_OGLYCAN153e,0,1000
ENAGALNACASE_OGLYCAN154e,0,1000
ENAGALNACASE_OGLYCAN155e,0,1000
ENAGALNACASE_OGLYCAN156e,0,1000
ENAGALNACASE_OGLYCAN157e,0,1000
ENAGALNACASE_OGLYCAN158e,0,1000
ENAGALNACASE_OGLYCAN159e,0,1000
ENAGALNACASE_OGLYCAN15e,0,1000
ENAGALNACASE_OGLYCAN160e,0,1000
ENAGALNACASE_OGLYCAN161e,0,1000
