reaction,lb,ub
BHEXNACASE_OGLYCAN56e,0,1000
BHEXNACASE_OGLYCAN57e,0,1000
BHEXNACASE_OGLYCAN58e,0,1000
BHEXNACASE_OGLYCAN59e,0,1000
BHEXNACASE_OGLYCAN5e,0,1000
BHEXNACASE_OGLYCAN60e,0,1000
BHEXNACASE_OGLYCAN61e,0,1000
BHEXNACASE_OGLYCAN62e,0,1000
BHEXNACASE_OGLYCAN63e,0,1000
BHEXNACASE_OGLYCAN64e,0,1000
BHEXNACASE_OGLYCAN65e,0,1000
BHEXNACASE_OGLYCAN66e,0,1000
BHEXNACASE_OGLYCAN67e,0,1000
BHEXNACASE_OGLYCAN68e,0,1000
BHEXNACASE_OGLYCAN69e,0,1000
BHEXNACASE_OGLYCAN6e,0,1000
BHEXNACASE_OGLYCAN70e,0,1000
BHEXNACASE_OGLYCAN71e,0,1000
BHEXNACASE_OGLYCAN72e,0,1000
BHEXNACASE_OGLYCAN73e,0,1000
BHEXNACASE_OGLYCAN74e,0,1000
BHEXNACASE_OGLYCAN75e,0,1000
BHEXNACASE_OGLYCAN76e,0,1000
BHEXNACASE_OGLYCAN77e,0,1000
BHEXNACASE_OGLYCAN78e,0,1000
BHEXNACASE_OGLYCAN79e,0,1000
BHEXNACASE_OGLYCAN7e,0,1000
BHEXNACASE_OGLYCAN80e,0,1000
BHEXNACASE_OGLYCAN81e,0,1000
BHEXNACASE_OGLYCAN82e,0,1000
BHEXNACASE_OGLYCAN83e,0,1000
BHEXNACASE_OGLYCAN84e,0,1000
BHEXNACASE_OGLYCAN85e,0,1000
BHEXNACASE_OGLYCAN86e,0,1000
BHEXNACASE_OGLYCAN87e,0,1000
BHEXNACASE_OGLYCAN88e,0,1000
BHEXNACASE_OGLYCAN89e,0,1000
BHEXNACASE_OGLYCAN8e,0,1000
BHEXNACASE_OGLYCAN90e,0,1000
BHEXNACASE_OGLYCAN91e,0,1000
BHEXNACASE_OGLYCAN92e,0,1000
BHEXNACASE_OGLYCAN93e,0,1000
BHEXNACASE_OGLYCAN94e,0,1000
BHEXNACASE_OGLYCAN9e,0,1000
BPNT,0,1000
BTCOAACCOAT,0,1000
BTCOADH_f,0,1000
BTCOADH_r,0,1000
BTNCLi,0,1000
BTNabc,0,1000
BTS4,0,1000
BUP2,0,1000
BUTt2r_f,0,1000
BUTt2r_r,0,1000
CA2abc,0,1000
CBIAT_f,0,1000
CBIAT_r,0,1000
CBLAT_f,0,1000
CBLAT_r,0,1000
CBMK,0,1000
CBMTHL2_f,0,1000
CBMTHL2_r,0,1000
CBPS,0,1000
CD2abc1,0,1000
CDPGLYCGPT_f,0,1000
CDPGLYCGPT_r,0,1000
