reaction,lb,ub
AMPTASECG,0,1000
AMPTASEGC,0,1000
ANPRT,0,1000
ANS,0,1000
ANS2,0,1000
AOBUTDs,0,1000
AOXHEXCYCL_f,0,1000
AOXHEXCYCL_r,0,1000
APAT_f,0,1000
APAT_r,0,1000
APRAUR,0,1000
ARAI_f,0,1000
ARAI_r,0,1000
ARBTpts,0,1000
ARBabc,0,1000
ARBt2r_f,0,1000
ARBt2r_r,0,1000
ARGSL_f,0,1000
ARGSL_r,0,1000
ARGSSr_f,0,1000
ARGSSr_r,0,1000
ASAD_f,0,1000
ASAD_r,0,1000
ASNS1,0,1000
ASNS2,0,1000
ASNt2r_f,0,1000
ASNt2r_r,0,1000
ASPCT,0,1000
ASPKi,0,1000
ASPT,0,1000
ASPTA_f,0,1000
ASPTA_r,0,1000
ASPt2r_f,0,1000
ASPt2r_r,0,1000
ATPPRT,0,1000
ATPS4,0,1000
BACCLi,0,1000
BGALASE_OGLYCAN100e,0,1000
BGALASE_OGLYCAN101e,0,1000
BGALASE_OGLYCAN102e,0,1000
BGALASE_OGLYCAN103e,0,1000
BGALASE_OGLYCAN104e,0,1000
BGALASE_OGLYCAN105e,0,1000
BGALASE_OGLYCAN106e,0,1000
BGALASE_OGLYCAN107e,0,1000
BGALASE_OGLYCAN108e,0,1000
BGALASE_OGLYCAN109e,0,1000
BGALASE_OGLYCAN10e,0,1000
BGALASE_OGLYCAN110e,0,1000
BGALASE_OGLYCAN111e,0,1000
BGALASE_OGLYCAN112e,0,1000
BGALASE_OGLYCAN113e,0,1000
BGALASE_OGLYCAN114e,0,1000
BGALASE_OGLYCAN115e,0,1000
BGALASE_OGLYCAN116e,0,1000
BGALASE_OGLYCAN117e,0,1000
BGALASE_OGLYCAN118e,0,1000
BGALASE_OGLYCAN119e,0,1000
BGALASE_OGLYCAN11e,0,1000
BGALASE_OGLYCAN120e,0,1000
BGALASE_OGLYCAN121e,0,1000
BGALASE_OGLYCAN122e,0,1000
BGALASE_OGLYCAN123e,0,1000
BGALASE_OGLYCAN124e,0,1000
BGALASE_OGLYCAN125e,0,1000
BGALASE_OGLYCAN126e,0,1000
BGALASE_OGLYCAN127e,0,1000
BGALASE_OGLYCAN128e,0,1000
BGALASE_OGLYCAN129e,0,1000
BGALASE_OGLYCAN12e,0,1000
BGALASE_OGLYCAN130e,0,1000
BGALASE_OGLYCAN131e,0,1000
BGALASE_OGLYCAN132e,0,1000
BGALASE_OGLYCAN133e,0,1000
BGALASE_OGLYCAN134e,0,1000
BGALASE_OGLYCAN135e,0,1000
BGALASE_OGLYCAN136e,0,1000
BGALASE_OGLYCAN137e,0,1000
BGALASE_OGLYCAN138e,0,1000
BGALASE_OGLYCAN139e,0,1000
BGALASE_OGLYCAN13e,0,1000
BGALASE_OGLYCAN140e,0,1000
BGALASE_OGLYCAN141e,0,1000
BGALASE_OGLYCAN142e,0,1000
BGALASE_OGLYCAN143e,0,1000
BGALASE_OGLYCAN144e,0,1000
BGALASE_OGLYCAN145e,0,1000
BGALASE_OGLYCAN146e,0,1000
BGALASE_OGLYCAN147e,0,1000
BGALASE_OGLYCAN148e,0,1000
BGALASE_OGLYCAN149e,0,1000
BGALASE_OGLYCAN14e,0,1000
BGALASE_OGLYCAN150e,0,1000
BGALASE_OGLYCAN15e,0,1000
BGALASE_OGLYCAN16e,0,1000
BGALASE_OGLYCAN17e,0,1000
BGALASE_OGLYCAN18e,0,1000
BGALASE_OGLYCAN19e,0,1000
BGALASE_OGLYCAN1e,0,1000
BGALASE_OGLYCAN20e,0,1000
BGALASE_OGLYCAN21e,0,1000
BGALASE_OGLYCAN22e,0,1000
BGALASE_OGLYCAN23e,0,1000
BGALASE_OGLYCAN24e,0,1000
BGALASE_OGLYCAN25e,0,1000
BGALASE_OGLYCAN26e,0,1000
BGALASE_OGLYCAN27e,0,1000
BGALASE_OGLYCAN28e,0,1000
BGALASE_OGLYCAN29e,0,1000
BGALASE_OGLYCAN2e,0,1000
BGALASE_OGLYCAN30e,0,1000
BGALASE_OGLYCAN31e,0,1000
BGALASE_OGLYCAN32e,0,1000
BGALASE_OGLYCAN33e,0,1000
BGALASE_OGLYCAN34e,0,1000
BGALASE_OGLYCAN35e,0,1000
BGALASE_OGLYCAN36e,0,1000
BGALASE_OGLYCAN37e,0,1000
BGALASE_OGLYCAN38e,0,1000
BGALASE_OGLYCAN39e,0,1000
BGALASE_OGLYCAN3e,0,1000
BGALASE_OGLYCAN40e,0,1000
BGALASE_OGLYCAN41e,0,1000
BGALASE_OGLYCAN42e,0,1000
BGALASE_OGLYCAN43e,0,1000
BGALASE_OGLYCAN44e,0,1000
BGALASE_OGLYCAN45e,0,1000
BGALASE_OGLYCAN46e,0,1000
BGALASE_OGLYCAN47e,0,1000
BGALASE_OGLYCAN48e,0,1000
BGALASE_OGLYCAN49e,0,1000
BGALASE_OGLYCAN4e,0,1000
BGALASE_OGLYCAN50e,0,1000
BGALASE_OGLYCAN51e,0,1000
BGALASE_OGLYCAN52e,0,1000
BGALASE_OGLYCAN53e,0,1000
BGALASE_OGLYCAN54e,0,1000
BGALASE_OGLYCAN55e,0,1000
BGALASE_OGLYCAN56e,0,1000
BGALASE_OGLYCAN57e,0,1000
BGALASE_OGLYCAN58e,0,1000
BGALASE_OGLYCAN59e,0,1000
BGALASE_OGLYCAN5e,0,1000
BGALASE_OGLYCAN60e,0,1000
BGALASE_OGLYCAN61e,0,1000
BGALASE_OGLYCAN62e,0,1000
BGALASE_OGLYCAN63e,0,1000
BGALASE_OGLYCAN64e,0,1000
BGALASE_OGLYCAN65e,0,1000
BGALASE_OGLYCAN66e,0,1000
BGALASE_OGLYCAN67e,0,1000
BGALASE_OGLYCAN68e,0,1000
BGALASE_OGLYCAN69e,0,1000
BGALASE_OGLYCAN6e,0,1000
BGALASE_OGLYCAN70e,0,1000
BGALASE_OGLYCAN71e,0,1000
BGALASE_OGLYCAN72e,0,1000
BGALASE_OGLYCAN73e,0,1000
